,0,1
1,400,39.75211268
2,405,39.21126761
3,410,39.34647887
4,415,38.67042254
5,420,39.07605634
6,425,39.07605634
7,430,39.07605634
8,435,39.07605634
9,440,39.61690141
10,445,40.96901408
11,450,41.78028169
12,455,42.9971831
13,460,43.53802817
14,465,44.61971831
15,470,45.83661972
16,475,46.78309859
17,480,48.27042254
18,485,49.62253521
19,490,51.65070423
20,495,53.54366197
21,500,56.78873239
22,505,60.84507042
23,510,67.33521127
24,515,73.55492958
25,520,78.01690141
26,525,81.3971831
27,530,83.42535211
28,535,84.77746479
29,540,85.45352113
30,545,85.9943662
31,550,85.9943662
32,555,85.9943662
33,560,86.12957746
34,565,85.9943662
35,570,85.85915493
36,575,85.72394366
37,580,85.72394366
38,585,85.9943662
39,590,86.26478873
40,595,86.53521127
41,600,86.8056338
42,605,87.34647887
43,610,88.15774648
44,615,88.96901408
45,620,89.78028169
46,625,90.72676056
47,630,91.4028169
48,635,92.34929577
49,640,92.75492958
50,645,93.70140845
51,650,94.51267606
52,655,95.05352113
53,660,95.32394366
54,665,94.78309859
55,670,95.32394366
56,675,95.05352113
57,680,95.05352113
58,685,94.51267606
59,690,94.24225352
60,695,94.78309859
61,700,95.32394366
